Rain.tomorrow,Rainfall.mm.,X3pm.Temperature.C.,X3pm.relative.humidity.,X3pm.cloud.amount.oktas.,X3pm.wind.direction,X3pm.wind.speed.km.h.,X3pm.MSL.pressure.hPa.
FALSE,0,38,8,0,ENE,26,1011.7
FALSE,0,11.7,48,0,NNW,17,1026.4
FALSE,0,21.1,25,0,W,19,1021.3
FALSE,3.2,28.8,45,8,NNW,20,1009.8
FALSE,0,24.5,32,0,SSW,2,1019.1
FALSE,0,12.3,38,4,N,9,1015.3
FALSE,0,27.8,32,0,WNW,19,1014.7
FALSE,0,23.9,44,4,ESE,22,1021.3
FALSE,2.4,12,32,0,SSW,15,1019.9
FALSE,0,10.4,49,0,NNW,28,1018.7
FALSE,0,21.2,24,0,NNW,30,1013.8
FALSE,0,12.6,49,7,NW,19,1020.8
FALSE,0,9.6,47,8,NNW,17,1018.7
FALSE,0,20,61,1,NE,7,1018.7
FALSE,0,37.4,17,1,NNW,31,1010.6
FALSE,0,11.9,42,0,NW,28,1018.2
FALSE,5.2,11.7,49,1,WNW,33,1004.5
FALSE,0,26.8,26,0,NNW,17,1013.9
FALSE,0,25.6,32,0,NNW,13,1016.6
FALSE,0,18.9,33,0,E,15,1023.2
FALSE,0,27.7,23,0,NNE,11,1003.7
FALSE,0,20.3,41,0,NNW,24,1015.7
FALSE,0,11.3,52,8,S,22,1025.8
FALSE,0,16.7,26,0,W,24,1016.3
FALSE,1.4,14.4,47,0,ESE,17,1026.3
FALSE,0,33.2,21,0,W,20,1012.5
FALSE,0,32,21,8,WNW,9,1009.3
FALSE,0,30,24,0,NW,37,1012.9
FALSE,0,22.9,27,0,WNW,37,1011.3
FALSE,0,13.7,54,0,NW,33,1019.1
FALSE,0,10.2,31,1,S,15,1018.1
FALSE,0,27.8,32,0,WNW,19,1014.7
FALSE,0,16.2,54,0,W,7,1023
FALSE,0.2,15.3,25,0,NW,33,1011.6
FALSE,0,14.7,38,0,WNW,11,1026.2
FALSE,0,11.4,45,8,NNE,13,1020.4
FALSE,0,16.2,32,0,N,11,1018.6
FALSE,0,10.1,45,0,NNW,19,1021.3
FALSE,0,10.4,54,0,WNW,31,1015.7
FALSE,0,18.7,41,0,WSW,28,1019.8
FALSE,0.8,30.3,36,4,SSW,20,1009.7
FALSE,0,16.2,32,0,N,11,1018.6
FALSE,0,37.5,10,0,S,13,1012.6
FALSE,0,29.4,33,0,NNW,17,1013.9
FALSE,0,9.4,56,1,WNW,33,1022.5
FALSE,0,37.5,10,0,S,13,1012.6
FALSE,0,21.8,48,8,E,24,1016.6
FALSE,0,14.7,48,0,NNW,22,1022.9
FALSE,0,13.9,42,0,NNW,11,1032.3
FALSE,0,26.2,20,6,SW,11,1013.6
FALSE,2,18.6,42,0,N,11,1027.1
FALSE,0,10.5,43,6,WNW,33,1013.3
FALSE,0,19.6,26,0,NW,24,1014.6
FALSE,0,14.9,49,0,NNW,28,1020.5
FALSE,0,14.6,49,0,NNW,6,1022
FALSE,0,15.5,54,8,NNW,11,1028.5
FALSE,0,34.3,22,4,NW,20,1013.7
FALSE,0,28.3,10,0,WNW,20,1017.4
FALSE,0,12.4,40,0,S,22,1022.8
FALSE,0,9.5,50,0,NNW,20,1014.9
FALSE,0,30.5,43,8,NE,15,1010.2
FALSE,0,15.9,35,0,NNW,20,1019.9
FALSE,0,30,24,0,NW,37,1012.9
FALSE,0.2,15.9,40,1,S,33,1023
FALSE,0,12.5,39,0,WNW,35,1016.7
FALSE,0,21.9,47,6,ESE,22,1014.7
FALSE,0,25.6,39,2,NW,9,1019.4
TRUE,0,13.2,44,2,E,7,1021.7
TRUE,0,16,43,1,WNW,15,1014.6
TRUE,0,31.8,35,5,WNW,19,1011.5
TRUE,0,18.9,57,7,ESE,31,1024
TRUE,0,11.3,80,8,NW,17,1022.4
TRUE,0,12.7,49,3,NE,2,1030.7
TRUE,0,13.1,47,0,NW,44,1013.4
TRUE,0,10.4,34,1,S,28,1020.6
TRUE,3,23.5,35,0,WNW,31,1001.1
TRUE,15.6,26.9,37,3,ESE,17,1017.5
TRUE,9.6,11,73,4,N,9,1022
TRUE,0.2,10.8,66,4,S,15,1020.7
TRUE,0,23,25,7,NW,13,1008.1
TRUE,0.2,11.5,75,6,SSW,17,1015.4
TRUE,0,17.9,45,3,NE,26,1018
TRUE,0,7.6,76,7,W,26,1007.4
TRUE,0,17.9,35,4,NNW,39,1009.9
TRUE,0,24.6,23,0,NNW,20,1011.2
TRUE,0.2,23.3,32,0,WSW,9,1018.9
TRUE,11.2,14,81,8,E,24,1020.4
TRUE,0,12.6,48,8,NNW,37,1008.5
TRUE,7.4,25.2,57,7,S,6,1011.3
TRUE,1.6,7.6,62,8,NW,43,1009.6
TRUE,0,18.5,72,8,WNW,11,1014.1
TRUE,0,32.5,30,7,NW,20,1006.8
TRUE,0,16.7,81,8,ESE,19,1026.3
TRUE,0.2,10.8,66,4,S,15,1020.7
TRUE,0.2,21.4,50,2,ENE,28,1003.1
TRUE,0.2,18.6,80,8,N,15,1010.5
TRUE,0,33.2,34,0,NW,22,1004.9
TRUE,0,14.1,56,8,Calm,0,1020.9
TRUE,0.2,11.5,75,6,SSW,17,1015.4
TRUE,0,13,38,0,WNW,9,1026.5
TRUE,0,13.6,38,0,NW,30,1013.5
TRUE,0,12.9,50,0,N,15,1022.2
TRUE,0,32.7,33,3,NW,37,1004.6
TRUE,0,30.8,33,8,WSW,24,1002.9
TRUE,11.2,14,81,8,E,24,1020.4
TRUE,0.2,30.9,36,3,NW,28,1009.4
TRUE,0,24.2,29,1,NW,15,1023.2
TRUE,0,16,63,8,NNW,20,1008.7
TRUE,2.4,13.7,69,8,NW,30,1007
TRUE,0,31.2,34,5,ESE,28,1011
TRUE,0.2,19.8,32,0,S,30,1015.8
TRUE,2.4,20.2,65,8,NE,11,1015.1
TRUE,0,25.1,41,0,N,13,1014.5
TRUE,0,24.7,51,8,NW,30,1020.5
TRUE,2.8,8.8,61,8,NW,24,1014.8
TRUE,0,31.1,31,8,W,19,1011.8
TRUE,0,27.5,45,7,NW,30,1009.2
TRUE,9.6,11,73,4,N,9,1022
TRUE,0.2,25.2,26,2,NNW,11,1023.7
TRUE,0,12.6,48,8,NNW,37,1008.5
TRUE,0,17,53,0,NNW,33,1018.5
TRUE,0.2,20.9,63,8,SW,15,1015
TRUE,2.4,13.7,69,8,NW,30,1007
TRUE,2,33.5,23,0,NW,24,1005.7
TRUE,18.4,19.3,61,1,NW,31,1006.1
TRUE,0,22.5,36,7,WNW,24,1011.1
TRUE,0,31.1,31,8,W,19,1011.8
TRUE,2.4,13.7,69,8,NW,30,1007
TRUE,7.4,25.2,57,7,S,6,1011.3
TRUE,0,14.2,66,8,SSE,20,1024.2
TRUE,0,14.1,56,8,Calm,0,1020.9
TRUE,0,32.3,35,8,N,26,1006.3
TRUE,0.2,12.4,87,8,SSE,17,1010.2
TRUE,0,11.2,71,8,E,26,1012.5
TRUE,0,11.2,71,8,E,26,1012.5
TRUE,0.4,7.4,99,8,WNW,13,1001.2
TRUE,0.4,13,42,4,WNW,33,1018
TRUE,0,32.5,30,7,NW,20,1006.8
TRUE,0,12.8,82,8,N,24,1017.6
TRUE,0,11.3,80,8,NW,17,1022.4
TRUE,0.2,9.7,76,6,NNW,35,1010.5
TRUE,0,26.9,30,2,NNW,28,1009.4
TRUE,0,13.2,44,2,E,7,1021.7
TRUE,9.6,11,73,4,N,9,1022
TRUE,12,18.8,45,8,NW,24,1000.5
TRUE,3.8,7.6,68,8,WNW,28,1013.5
TRUE,0,12.6,48,8,NNW,37,1008.5
TRUE,0,32.5,30,7,NW,20,1006.8
TRUE,0.2,9.7,76,6,NNW,35,1010.5
TRUE,0.2,23.3,32,0,WSW,9,1018.9
TRUE,3.8,11.5,55,7,WNW,30,1007.5
TRUE,11.2,14,81,8,E,24,1020.4
TRUE,0.8,22.2,47,8,SE,24,1014.6
TRUE,1.4,5.8,78,8,NNW,24,1012
TRUE,0,13.4,27,8,WNW,17,1017.5
TRUE,1.4,28.9,21,1,ENE,13,1014.3
TRUE,0,11.2,71,8,E,26,1012.5
TRUE,0.4,7.4,99,8,WNW,13,1001.2
TRUE,0,18.2,56,8,NW,17,1015.6
TRUE,0,14.2,42,3,WNW,46,1005.3
TRUE,0,20.2,42,8,W,30,1005.8
TRUE,1.4,28.9,21,1,ENE,13,1014.3
TRUE,0,30.8,33,8,WSW,24,1002.9
TRUE,3.8,7.6,68,8,WNW,28,1013.5
TRUE,0,4.3,79,8,SSE,22,1016.8
TRUE,0,9.1,79,4,NNW,26,1008.4
TRUE,0,12.9,50,0,N,15,1022.2
TRUE,0,18.5,72,8,WNW,11,1014.1
TRUE,0,24.2,29,1,NW,15,1023.2
TRUE,0,24.7,51,8,NW,30,1020.5
TRUE,0,7.6,76,7,W,26,1007.4
TRUE,0,32.7,33,3,NW,37,1004.6
TRUE,0,32.3,35,8,N,26,1006.3
TRUE,0,32.3,35,8,N,26,1006.3
TRUE,0,13.6,38,0,NW,30,1013.5
TRUE,0,16,63,8,NNW,20,1008.7
TRUE,15.2,21.3,54,1,N,9,1010.8
TRUE,7.4,25.2,57,7,S,6,1011.3
TRUE,0,17.9,45,3,NE,26,1018
TRUE,0,25.1,41,0,N,13,1014.5
TRUE,0.2,30.9,36,3,NW,28,1009.4
TRUE,0,18.9,57,7,ESE,31,1024
TRUE,0,18.2,56,8,NW,17,1015.6
TRUE,0,18.2,56,8,NW,17,1015.6
TRUE,0.2,25.4,31,4,WNW,31,1003.9
TRUE,6,13.2,58,8,NW,35,1016.8
TRUE,0.2,23.3,32,0,WSW,9,1018.9
TRUE,0,16,43,1,WNW,15,1014.6
TRUE,0.2,10.8,66,4,S,15,1020.7
TRUE,0,23.7,31,1,NNW,31,1016.1
TRUE,0.2,10.8,66,4,S,15,1020.7
TRUE,0,23.5,35,8,NW,31,1013.3
TRUE,0,24.2,29,1,NW,15,1023.2
TRUE,0.2,20.9,63,8,SW,15,1015
TRUE,0.2,25.4,31,4,WNW,31,1003.9
TRUE,2.4,13.7,69,8,NW,30,1007
TRUE,0.2,10.8,66,4,S,15,1020.7
TRUE,0.2,25.2,26,2,NNW,11,1023.7
TRUE,0,12.7,46,0,NNW,19,1026.6
TRUE,17.8,8.5,69,1,WNW,31,1009.2
TRUE,0.2,23.3,32,0,WSW,9,1018.9
TRUE,0.2,10.8,66,4,S,15,1020.7
TRUE,0,31.3,33,8,W,26,1008.8
TRUE,0.2,21.4,50,2,ENE,28,1003.1
TRUE,0,12.6,48,8,NNW,37,1008.5
TRUE,0,18.5,72,8,WNW,11,1014.1
TRUE,0,16,43,1,WNW,15,1014.6
TRUE,0,17.9,35,4,NNW,39,1009.9
TRUE,2,33.5,23,0,NW,24,1005.7
TRUE,0.2,25.3,41,1,NNW,22,1008.9
TRUE,0,32.3,35,8,N,26,1006.3
TRUE,1.4,5.8,78,8,NNW,24,1012
TRUE,0.2,25.4,31,4,WNW,31,1003.9
TRUE,0,11.5,60,8,WNW,31,1019.4
TRUE,0,18.5,72,8,WNW,11,1014.1
TRUE,0,27.5,45,7,NW,30,1009.2
TRUE,0.2,25.2,26,2,NNW,11,1023.7
TRUE,0,31.8,35,5,WNW,19,1011.5
TRUE,35.2,16,88,8,NNW,28,1003.3
TRUE,0,23,25,7,NW,13,1008.1
TRUE,0,14.2,42,3,WNW,46,1005.3
TRUE,0.2,25.2,26,2,NNW,11,1023.7
TRUE,0,8.5,72,8,NW,22,1009.1
TRUE,0,32.3,35,8,N,26,1006.3
TRUE,0,31.8,35,5,WNW,19,1011.5
TRUE,4.4,12.3,72,2,W,7,1022.6
TRUE,5,19.4,28,0,WNW,7,1025.4
TRUE,0,14.2,42,3,WNW,46,1005.3
TRUE,0,9.1,79,4,NNW,26,1008.4
TRUE,35.2,16,88,8,NNW,28,1003.3
TRUE,0,10.2,45,8,NNW,26,1012.9
TRUE,0,11,51,1,W,30,1014.8
TRUE,0.2,19.8,32,0,S,30,1015.8
TRUE,1.8,18.1,70,8,E,28,1019.2
TRUE,0,23.5,35,8,NW,31,1013.3
TRUE,0,16.7,81,8,ESE,19,1026.3
TRUE,19.6,15.7,84,8,SE,15,1008.2
TRUE,6,13.2,58,8,NW,35,1016.8
TRUE,0.8,22.2,47,8,SE,24,1014.6
TRUE,0,26.9,30,2,NNW,28,1009.4
TRUE,0,13.4,27,8,WNW,17,1017.5
TRUE,0,11.3,80,8,NW,17,1022.4
TRUE,0,7.6,76,7,W,26,1007.4
TRUE,0,33.2,34,0,NW,22,1004.9
TRUE,0,10.4,34,1,S,28,1020.6
TRUE,7.6,23.3,53,1,WNW,9,1014.7
TRUE,0,14.1,56,8,Calm,0,1020.9
TRUE,0,11.2,71,8,E,26,1012.5
TRUE,0,11,51,1,W,30,1014.8
TRUE,0,31.3,33,8,W,26,1008.8
TRUE,0,12.8,82,8,N,24,1017.6
TRUE,5,19.4,28,0,WNW,7,1025.4
TRUE,0,18.9,57,7,ESE,31,1024
TRUE,3.6,7,72,8,NW,28,1008.3
TRUE,0,14.2,66,8,SSE,20,1024.2
TRUE,2.4,20.2,65,8,NE,11,1015.1
TRUE,2.8,8.8,61,8,NW,24,1014.8
TRUE,0,13.2,45,8,NNW,37,1008.1
TRUE,0,11.3,80,8,NW,17,1022.4
TRUE,12,18.8,45,8,NW,24,1000.5
TRUE,0,23,25,7,NW,13,1008.1
TRUE,0,32.7,33,3,NW,37,1004.6
TRUE,0.2,25.2,26,2,NNW,11,1023.7
TRUE,0.6,7.3,53,0,WNW,37,1010.8
TRUE,17.8,8.5,69,1,WNW,31,1009.2
TRUE,0,17.9,45,3,NE,26,1018
TRUE,0,23.5,35,8,NW,31,1013.3
