Date,Minimum.temperature.C.,Maximum.temperature.C.,Rainfall.mm.,Direction.of.maximum.wind.gust,Speed.of.maximum.wind.gust.km.h.,Time.of.maximum.wind.gust,X9am.Temperature.C.,X9am.relative.humidity.,X9am.cloud.amount.oktas.,X9am.wind.direction,X9am.wind.speed.km.h.,X9am.MSL.pressure.hPa.,X3pm.Temperature.C.,X3pm.relative.humidity.,X3pm.cloud.amount.oktas.,X3pm.wind.direction,X3pm.wind.speed.km.h.,X3pm.MSL.pressure.hPa.,Season,Change24HrRelativeHumidity,Change24HrMSLpressurehPa,Change24HrCloudAmountOktas,SkyDivingWeatherTomorrow,Rain.tomorrow
22/08/2017,-2.7,16.5,0,NW,26,15:53:00,5.3,78,0,Calm,0,1021,16.2,32,0,N,11,1018.6,Winter,-19,2.3999999999999773,-7,TRUE,FALSE
23/08/2017,-3.2,16.3,0,NW,35,13:11:00,4.5,81,0,Calm,0,1021.5,15.4,37,0,WNW,20,1017.8,Winter,5,-0.8000000000000682,0,TRUE,FALSE
24/08/2017,-2.6,14,0,SSW,30,11:21:00,3.9,81,8,ENE,2,1020.1,13.2,43,5,S,15,1018.5,Winter,6,0.7000000000000455,5,FALSE,FALSE
25/08/2017,-5.1,14.8,0,NE,24,15:09:00,5.8,73,0,Calm,0,1027.4,14,28,0,N,9,1024.4,Winter,-15,5.900000000000091,-5,FALSE,FALSE
26/08/2017,-3,15.7,0,NW,35,15:24:00,3.6,95,8,NNW,7,1025.9,15.6,36,0,NNW,22,1020.9,Winter,8,-3.5000000000001137,0,FALSE,FALSE
27/08/2017,-2.7,10.7,0,S,48,13:40:00,5.8,67,4,SSW,9,1017.3,4.3,79,8,SSE,22,1016.8,Winter,43,-4.100000000000023,8,TRUE,TRUE
28/08/2017,-2.4,12.4,2.4,S,39,09:39:00,6,58,0,S,30,1021.9,12,32,0,SSW,15,1019.9,Winter,-47,3.1000000000000227,-8,FALSE,FALSE
29/08/2017,-2.1,13,0,WNW,37,12:13:00,5.4,66,0,S,7,1023.8,12.4,40,1,NNW,20,1020.5,Winter,8,0.6000000000000227,1,FALSE,FALSE
30/08/2017,-5.3,15,0,NW,35,15:26:00,3.6,74,0,NNW,6,1024.4,14.1,38,0,WNW,15,1022.2,Winter,-2,1.7000000000000455,-1,TRUE,FALSE
31/08/2017,-1.2,13.8,0,S,39,09:43:00,6.1,58,0,SE,17,1030.7,12.9,37,0,SSW,20,1026.6,Winter,-1,4.399999999999864,0,FALSE,FALSE
01/09/2017,-4.7,15,0,NW,28,13:40:00,4.7,71,0,SSE,6,1027.7,14.2,36,0,NW,13,1021.5,Spring,-1,-5.099999999999909,0,TRUE,FALSE
02/09/2017,-3.9,18,0,NW,39,15:59:00,5.1,76,0,Calm,0,1022.4,17.7,34,3,NW,19,1018.7,Spring,-2,-2.7999999999999545,3,FALSE,FALSE
03/09/2017,1,23.5,0,NW,69,12:59:00,8.7,76,8,N,9,1012.4,21.7,26,4,NNW,33,1003.7,Spring,-8,-15,1,FALSE,FALSE
04/09/2017,5.5,12.8,0,NW,72,13:49:00,10.5,55,0,NW,33,1009,7.6,76,7,W,26,1007.4,Spring,50,3.699999999999932,3,FALSE,TRUE
05/09/2017,2.4,9.6,1.6,NW,65,11:09:00,5.6,73,8,WNW,37,1010.3,7.6,62,8,NW,43,1009.6,Spring,-14,2.2000000000000455,1,TRUE,TRUE
06/09/2017,3.4,10,2.8,WNW,44,04:34:00,7.1,64,1,NW,30,1014,8.8,61,8,NW,24,1014.8,Spring,-1,5.199999999999932,0,TRUE,FALSE
07/09/2017,4.8,13,0.6,W,46,15:17:00,9.6,67,8,WNW,20,1019.1,11.1,50,1,WNW,33,1017.4,Spring,-11,2.6000000000000227,-7,TRUE,FALSE
08/09/2017,5.3,13.8,0,WNW,44,11:54:00,9.6,61,8,WNW,22,1017.9,12.5,39,0,WNW,35,1016.7,Spring,-11,-0.6999999999999318,-1,FALSE,FALSE
09/09/2017,0.6,14.7,0,NW,33,15:56:00,8.3,57,0,NNW,7,1022.3,12.6,49,7,NW,19,1020.8,Spring,10,4.099999999999909,7,FALSE,FALSE
10/09/2017,-3.2,16.9,0,NNW,30,15:32:00,7.2,72,0,NNW,6,1023.6,15.9,35,0,NNW,20,1019.9,Spring,-14,-0.8999999999999773,-7,FALSE,FALSE
11/09/2017,-2.4,19.9,0,WNW,35,13:44:00,7.3,71,0,SW,6,1020.6,18.4,40,4,NNW,19,1016.8,Spring,5,-3.1000000000000227,4,FALSE,FALSE
12/09/2017,3.6,23.8,0,NW,57,11:45:00,13.4,56,2,NE,6,1016.6,22.9,27,0,WNW,37,1011.3,Spring,-13,-5.5,-4,FALSE,FALSE
13/09/2017,8.4,22.5,0,NW,59,13:05:00,18.1,30,1,NNW,33,1006.6,15.8,48,6,WNW,28,1006.5,Spring,21,-4.7999999999999545,6,TRUE,FALSE
14/09/2017,4.4,12.4,0,WNW,56,21:58:00,7.2,55,1,WNW,28,1012.1,10.5,43,6,WNW,33,1013.3,Spring,-5,6.7999999999999545,0,FALSE,FALSE
15/09/2017,7,13.6,0,WNW,52,13:56:00,11,70,8,NW,31,1019.6,11.5,60,8,WNW,31,1019.4,Spring,17,6.100000000000023,2,FALSE,FALSE
16/09/2017,8,14.9,0.4,WNW,57,12:32:00,10.5,70,4,WNW,33,1017,13,42,4,WNW,33,1018,Spring,-18,-1.3999999999999773,-4,TRUE,FALSE
17/09/2017,-6.1,16.7,0.4,NW,28,14:08:00,6.5,59,0,SSE,4,1027.9,15.6,21,0,NNW,17,1023.7,Spring,-21,5.7000000000000455,-4,FALSE,FALSE
18/09/2017,-5.6,20.1,0,NW,54,11:46:00,7.2,56,0,W,6,1023.6,19.5,27,0,NW,30,1017.9,Spring,6,-5.800000000000068,0,FALSE,FALSE
19/09/2017,2.8,14.9,0,WNW,54,13:18:00,10.9,50,1,WNW,28,1016.7,13.9,37,0,WNW,33,1016.7,Spring,10,-1.1999999999999318,0,FALSE,FALSE
20/09/2017,-4.1,18.2,0,N,33,15:28:00,6.7,60,0,NNW,6,1021.8,17.6,34,0,NNW,17,1016.9,Spring,-3,0.1999999999999318,0,FALSE,FALSE
21/09/2017,-1.1,22.6,0,NNW,41,14:49:00,10.2,64,0,WNW,6,1018.1,21.2,24,0,NNW,30,1013.8,Spring,-10,-3.1000000000000227,0,FALSE,FALSE
22/09/2017,1.1,25.2,0,NNW,41,12:21:00,13.1,54,1,S,6,1015.9,24.8,16,0,NW,24,1012.1,Spring,-8,-1.6999999999999318,0,FALSE,FALSE
23/09/2017,1.3,30.2,0,NNW,61,12:15:00,17.3,36,0,NNW,9,1010.2,29.8,14,0,NNW,39,1001.7,Spring,-2,-10.399999999999977,0,FALSE,FALSE
24/09/2017,12.7,21.4,0,WNW,80,14:35:00,14.6,54,8,NW,33,1007.1,19.6,27,1,WNW,39,1002.9,Spring,13,1.1999999999999318,1,FALSE,FALSE
25/09/2017,8.1,17.5,0,WNW,50,14:27:00,13.9,47,1,NW,24,1008.8,15.5,41,0,WNW,35,1008.9,Spring,14,6,-1,TRUE,FALSE
26/09/2017,4.2,19.4,0,NNW,35,15:14:00,12.8,33,0,W,13,1016.7,19.1,26,0,NNW,22,1014.8,Spring,-15,5.899999999999977,0,FALSE,FALSE
27/09/2017,1.4,24.3,0,NNW,63,22:52:00,10.6,71,0,E,7,1015.9,23,25,7,NW,13,1008.1,Spring,-1,-6.699999999999932,7,TRUE,TRUE
28/09/2017,10.4,20.3,7.6,NNW,61,00:41:00,17.2,49,2,WNW,24,1008.3,18.5,42,1,W,28,1008.8,Spring,17,0.6999999999999318,-6,FALSE,FALSE
29/09/2017,7.1,19.5,0,WNW,54,15:01:00,14.8,44,0,WNW,22,1016.1,17.7,32,2,WNW,33,1012.9,Spring,-10,4.100000000000023,1,FALSE,FALSE
30/09/2017,10,17.9,0,WNW,72,10:54:00,13.2,43,0,W,37,1015.5,16.7,26,0,W,24,1016.3,Spring,-6,3.3999999999999773,-2,FALSE,FALSE
01/10/2017,-0.7,19.8,0,NNW,43,13:02:00,10.6,58,0,WNW,9,1022.2,18.4,38,0,NW,26,1018.6,Spring,12,2.300000000000068,0,FALSE,FALSE
02/10/2017,1.7,22.5,0,NW,31,12:58:00,10.4,73,0,SE,7,1024.6,21.1,25,0,W,19,1021.3,Spring,-13,2.699999999999932,0,FALSE,FALSE
03/10/2017,4.5,25,0,NNW,37,13:02:00,10.8,95,8,N,9,1023.8,23.3,28,0,NW,24,1019.7,Spring,3,-1.599999999999909,0,FALSE,FALSE
04/10/2017,2.4,25.4,0,NNW,35,13:50:00,12.9,60,0,SSE,9,1022.8,23.7,23,0,NW,11,1018.7,Spring,-5,-1,0,FALSE,FALSE
05/10/2017,8.3,26.6,0,NW,50,12:39:00,13.5,83,7,SSE,9,1018.4,23.5,35,8,NW,31,1013.3,Spring,12,-5.400000000000091,8,TRUE,FALSE
06/10/2017,11.1,21.5,0.2,S,48,13:07:00,12.2,63,8,NW,11,1014.9,19.8,32,0,S,30,1015.8,Spring,-3,2.5,-8,TRUE,FALSE
07/10/2017,1.3,21.1,0.2,E,37,19:09:00,10.1,57,6,SSE,15,1023.4,19.4,37,2,E,13,1019.9,Spring,5,4.100000000000023,2,FALSE,FALSE
08/10/2017,5.2,20.1,0,NNW,33,12:34:00,12.6,72,3,E,9,1018.9,18.2,56,8,NW,17,1015.6,Spring,19,-4.2999999999999545,6,FALSE,TRUE
09/10/2017,12.2,25.4,12.8,NW,56,14:18:00,16.3,88,8,NNE,11,1011.6,22.6,44,8,WNW,35,1008.9,Spring,-12,-6.7000000000000455,0,FALSE,FALSE
10/10/2017,4.5,22.7,0,NNW,28,11:52:00,11.6,84,7,SW,9,1017.6,22.3,29,0,NNW,17,1015.1,Spring,-15,6.2000000000000455,-8,FALSE,FALSE
11/10/2017,10.8,25.6,0,NNW,50,22:48:00,16,78,5,WNW,6,1016.6,24.6,23,0,NNW,20,1011.2,Spring,-6,-3.8999999999999773,0,TRUE,TRUE
12/10/2017,12.3,20.6,3.8,NW,61,01:43:00,14.6,57,0,WNW,28,1011.2,18.8,35,0,WNW,35,1012.4,Spring,12,1.1999999999999318,0,FALSE,FALSE
13/10/2017,2.8,21.3,0,N,37,13:22:00,12.2,61,0,NW,7,1018.4,20.3,41,0,NNW,24,1015.7,Spring,6,3.300000000000068,0,TRUE,FALSE
14/10/2017,10.8,17.9,0,NE,31,17:11:00,13.3,72,8,ESE,17,1023.4,16.6,58,8,ENE,15,1022.4,Spring,17,6.699999999999932,8,FALSE,FALSE
15/10/2017,6.7,24.7,0,E,31,18:35:00,12.1,77,8,N,9,1026,22.4,32,0,NW,9,1022.8,Spring,-26,0.39999999999997726,-8,TRUE,FALSE
16/10/2017,6.1,25.2,0,ENE,33,10:49:00,14.1,75,0,ESE,11,1028.4,24.2,28,0,NE,13,1024.9,Spring,-4,2.1000000000001364,0,TRUE,FALSE
17/10/2017,3.7,27.4,0,ENE,35,15:16:00,14.2,73,0,ESE,11,1027.9,26.4,18,0,NE,13,1023.9,Spring,-10,-1.0000000000001137,0,FALSE,FALSE
18/10/2017,5.5,27.5,0,NE,35,19:35:00,15,70,5,SE,7,1028.2,26,30,0,NE,11,1023.3,Spring,12,-0.6000000000000227,0,FALSE,FALSE
19/10/2017,9.2,27.3,0,NW,50,10:50:00,17.8,66,0,W,6,1024.4,24.7,51,8,NW,30,1020.5,Spring,21,-2.7999999999999545,8,TRUE,TRUE
20/10/2017,14.2,21.1,11.2,ESE,33,13:20:00,16,93,7,SSW,2,1020.3,14,81,8,E,24,1020.4,Spring,30,-0.10000000000002274,0,TRUE,FALSE
21/10/2017,1.4,19.9,0.2,ENE,30,20:31:00,9.2,60,0,ESE,11,1022.4,18.8,32,0,N,11,1017.6,Spring,-49,-2.7999999999999545,-8,FALSE,FALSE
22/10/2017,9.1,19.1,0,SSW,37,15:18:00,12.8,66,2,NE,9,1014.7,17.3,41,8,WSW,13,1012.1,Spring,9,-5.5,8,FALSE,FALSE
23/10/2017,3.1,22.6,0.4,NNW,26,15:26:00,11.8,67,0,S,7,1018.7,21.3,15,0,NNE,9,1016,Spring,-26,3.8999999999999773,-8,TRUE,FALSE
24/10/2017,3.6,24.7,0,NW,41,11:39:00,13.9,59,0,NNE,2,1019,21.3,33,8,WNW,26,1016.4,Spring,18,0.39999999999997726,8,TRUE,FALSE
25/10/2017,12.5,25.8,0,NW,48,13:06:00,19.3,54,4,NW,19,1013.7,22.5,36,7,WNW,24,1011.1,Spring,3,-5.2999999999999545,-1,FALSE,FALSE
26/10/2017,12.2,23.8,0.2,E,57,15:40:00,15.9,70,8,E,20,1007.2,21.4,50,2,ENE,28,1003.1,Spring,14,-8,-5,FALSE,TRUE
27/10/2017,10.8,22.7,15.2,S,30,02:12:00,14.6,73,8,S,17,1012.3,21.3,54,1,N,9,1010.8,Spring,4,7.699999999999932,-1,FALSE,FALSE
28/10/2017,9.7,26.4,0.2,NW,43,15:08:00,16.8,77,1,NW,7,1012.1,25.3,41,1,NNW,22,1008.9,Spring,-13,-1.8999999999999773,0,TRUE,TRUE
29/10/2017,11.2,25.4,1.2,NNW,48,13:18:00,16.8,76,8,NW,24,1009.9,24.4,44,1,NNW,33,1006.5,Spring,3,-2.3999999999999773,0,FALSE,FALSE
30/10/2017,9.7,21.5,0,NW,59,12:23:00,19.9,43,0,NNW,24,1003.3,19.6,34,2,W,37,1005.4,Spring,-10,-1.1000000000000227,1,TRUE,TRUE
31/10/2017,3.6,17.7,12.8,SSW,33,09:54:00,9.7,55,0,SSW,17,1017.4,16,35,8,SSE,11,1013.4,Spring,1,8,6,TRUE,FALSE
01/11/2017,4.8,21.4,0,SSE,46,23:27:00,11.3,50,0,S,28,1014.2,19.5,33,3,S,24,1010.4,Spring,-2,-3,-5,TRUE,FALSE
02/11/2017,5.8,23.1,0,NNW,37,13:50:00,13.8,51,0,SE,13,1013.6,20.5,41,8,NNW,17,1010.5,Spring,8,0.10000000000002274,5,FALSE,FALSE
03/11/2017,4.3,19.7,0,W,59,11:24:00,14.6,66,3,NNW,9,1010.5,17.3,53,8,NNW,30,1011.2,Spring,12,0.7000000000000455,0,TRUE,FALSE
04/11/2017,9.5,21.3,0,E,48,17:48:00,14.5,62,0,NNE,20,1016.6,19.6,26,0,NW,24,1014.6,Spring,-27,3.3999999999999773,-8,TRUE,FALSE
05/11/2017,8.3,19.4,0,NE,48,16:35:00,12.9,59,8,ENE,11,1021.3,17.9,45,3,NE,26,1018,Spring,19,3.3999999999999773,3,FALSE,TRUE
06/11/2017,10.4,14.6,20.8,S,48,15:55:00,11.1,99,8,S,15,1007.8,12.2,86,8,W,20,1005.5,Spring,41,-12.5,5,FALSE,TRUE
07/11/2017,2.5,19.3,18.6,SSW,35,07:24:00,11.6,56,0,S,28,1015.8,18.9,37,7,SSW,11,1014.9,Spring,-49,9.399999999999977,-1,TRUE,FALSE
08/11/2017,7,20.7,0,SE,31,04:23:00,10.9,49,0,S,15,1025.3,18.9,33,0,E,15,1023.2,Spring,-4,8.300000000000068,-7,FALSE,FALSE
09/11/2017,3.1,25.5,0,Calm,7,00:00:15,13.8,64,0,SE,6,1026.9,24.2,29,1,NW,15,1023.2,Spring,-4,0,1,FALSE,FALSE
10/11/2017,4.5,25.6,0.2,ENE,43,17:52:00,16.2,39,0,SW,6,1028,25.2,26,2,NNW,11,1023.7,Spring,-3,0.5,1,TRUE,FALSE
11/11/2017,11.1,24.1,0.2,SSW,43,14:01:00,15.5,70,1,NNW,4,1027.3,20.6,49,8,SSW,20,1022.8,Spring,23,-0.900000000000091,6,TRUE,FALSE
12/11/2017,13,23.5,0.2,ENE,35,19:20:00,15.5,65,8,NE,15,1025.1,22.1,42,8,NNE,13,1021.1,Spring,-7,-1.6999999999999318,0,TRUE,FALSE
13/11/2017,11.6,22.8,0,E,33,17:23:00,14.6,64,8,ENE,11,1023.8,20.1,52,8,W,19,1020.6,Spring,10,-0.5,0,TRUE,FALSE
14/11/2017,7.1,25.7,0,ENE,41,18:17:00,14.3,64,5,ENE,11,1022.9,24.8,39,2,NNE,13,1017.5,Spring,-13,-3.1000000000000227,-6,TRUE,FALSE
15/11/2017,8.2,28.2,0,NW,33,13:37:00,17.1,62,0,SW,4,1019,26.8,26,0,NNW,17,1013.9,Spring,-13,-3.6000000000000227,-2,TRUE,FALSE
16/11/2017,11,20.1,0,W,24,09:58:00,18.9,63,6,Calm,0,1014.6,18.5,72,8,WNW,11,1014.1,Spring,46,0.20000000000004547,8,TRUE,TRUE
17/11/2017,12.9,24.3,2.4,E,46,17:20:00,18.8,73,8,ENE,15,1017,20.2,65,8,NE,11,1015.1,Spring,-7,1,0,FALSE,TRUE
18/11/2017,14.5,19,1.8,E,50,17:38:00,16.1,78,8,E,17,1019.3,18.1,70,8,E,28,1019.2,Spring,5,4.100000000000023,0,TRUE,FALSE
19/11/2017,12.5,24.4,0.4,ENE,39,16:57:00,17.7,51,0,E,22,1023.2,22.2,44,4,ENE,24,1022,Spring,-26,2.7999999999999545,-4,TRUE,FALSE
20/11/2017,8.4,25.5,0,ENE,35,16:26:00,16.8,60,6,SE,13,1025.9,24.2,35,0,E,13,1022.9,Spring,-9,0.8999999999999773,-4,FALSE,FALSE
21/11/2017,7.4,26.1,0,NNE,39,10:45:00,15.9,59,0,S,9,1024.4,24.8,27,0,ENE,19,1020.7,Spring,-8,-2.199999999999932,0,FALSE,FALSE
22/11/2017,9.1,27.2,0,ENE,39,18:05:00,16.1,65,1,SW,6,1021.2,25.4,30,0,NW,13,1016,Spring,3,-4.7000000000000455,0,FALSE,FALSE
23/11/2017,12.2,27,0,NNW,41,11:33:00,18.1,63,0,NNE,7,1017,21.1,47,6,SW,26,1013.7,Spring,17,-2.2999999999999545,6,FALSE,FALSE
24/11/2017,8.9,29.8,0.8,SSE,70,13:52:00,17.5,66,5,WSW,4,1017.4,22.2,47,8,SE,24,1014.6,Spring,0,0.8999999999999773,2,FALSE,TRUE
25/11/2017,10.9,31,1.4,SSE,54,17:26:00,20.5,57,0,WSW,6,1018.7,28.9,21,1,ENE,13,1014.3,Spring,-26,-0.3000000000000682,-7,TRUE,FALSE
26/11/2017,11.4,25.9,0.2,WNW,26,13:52:00,19.6,63,0,SSE,13,1016.8,20.9,63,8,SW,15,1015,Spring,42,0.7000000000000455,7,FALSE,TRUE
27/11/2017,16.1,26.6,7.6,ESE,57,18:07:00,19.5,79,8,SE,6,1015,23.3,53,1,WNW,9,1014.7,Spring,-10,-0.2999999999999545,-7,FALSE,TRUE
28/11/2017,11.5,28.4,15.6,E,37,15:26:00,16.8,86,8,SSE,11,1020.7,26.9,37,3,ESE,17,1017.5,Spring,-16,2.7999999999999545,2,FALSE,FALSE
29/11/2017,16.4,29.1,0.2,E,37,17:48:00,20.3,63,8,SSW,9,1021,27.7,31,0,SSE,11,1017.3,Spring,-6,-0.20000000000004547,-3,FALSE,FALSE
30/11/2017,12.8,30.6,0,ENE,37,19:27:00,19.9,67,0,SW,6,1018.3,28.5,31,1,N,19,1013.8,Spring,0,-3.5,1,FALSE,FALSE
01/12/2017,15,30.6,0,NW,56,14:50:00,23.6,61,1,NW,20,1014.5,27.5,45,7,NW,30,1009.2,Summer,14,-4.599999999999909,6,FALSE,TRUE
02/12/2017,17.7,19.6,35.2,NNW,65,10:58:00,17.8,99,8,N,20,1004.6,16,88,8,NNW,28,1003.3,Summer,43,-5.900000000000091,1,FALSE,TRUE
03/12/2017,12.2,19.9,18.4,NW,48,15:13:00,13.8,85,8,NNW,24,1005.7,19.3,61,1,NW,31,1006.1,Summer,-27,2.800000000000068,-7,TRUE,FALSE
04/12/2017,10.7,15.7,0.2,S,28,12:22:00,11.4,90,8,SSW,15,1011.2,12.4,87,8,SSE,17,1010.2,Summer,26,4.100000000000023,7,TRUE,TRUE
05/12/2017,11.4,20,6.6,SE,46,13:04:00,15.5,70,8,SSE,22,1008.6,17.6,58,8,SE,28,1005.9,Summer,-29,-4.300000000000068,0,FALSE,TRUE
06/12/2017,11.9,20.2,5.2,WNW,50,14:04:00,15.3,67,8,SSW,13,1002.7,17.8,63,8,WNW,28,1000.3,Summer,5,-5.600000000000023,0,FALSE,FALSE
07/12/2017,8.7,26.7,0.2,WNW,54,10:24:00,18.5,56,0,NW,7,1005.3,25.4,31,4,WNW,31,1003.9,Summer,-32,3.6000000000000227,-4,TRUE,TRUE
08/12/2017,12,22.5,6.2,W,48,23:48:00,16,68,6,W,15,1009.6,21.4,32,0,NW,17,1010.3,Summer,1,6.399999999999977,-4,FALSE,FALSE
09/12/2017,7.8,25,0,N,33,13:16:00,15.2,66,2,NNW,6,1018.7,23.8,36,1,N,20,1016.4,Summer,4,6.100000000000023,1,FALSE,FALSE
10/12/2017,10.9,28,0,N,35,10:59:00,17.7,69,0,S,6,1021.8,26.8,37,0,N,17,1018.4,Summer,1,2,-1,TRUE,FALSE
11/12/2017,12,29.7,0,E,43,18:05:00,20.3,66,0,WSW,4,1019.7,28.8,31,0,NW,20,1015.4,Summer,-6,-3,0,FALSE,FALSE
12/12/2017,16.4,30.6,0,N,46,14:09:00,20.6,61,0,E,7,1018.3,29.4,33,0,NNW,17,1013.9,Summer,2,-1.5,0,FALSE,FALSE
13/12/2017,12.5,32.7,0,WNW,41,14:27:00,21.2,67,0,ENE,6,1014.2,31.9,20,0,W,22,1010.2,Summer,-13,-3.699999999999932,0,FALSE,FALSE
14/12/2017,13.6,32.9,0,NNW,56,12:41:00,25.8,46,4,NNW,9,1009.1,32.5,30,7,NW,20,1006.8,Summer,10,-3.400000000000091,7,FALSE,TRUE
15/12/2017,17.9,30.5,3.2,N,46,20:01:00,19.2,85,8,NE,7,1013,28.8,45,8,NNW,20,1009.8,Summer,15,3,1,FALSE,FALSE
16/12/2017,14.1,32.6,0,NW,46,17:28:00,24,57,0,WNW,6,1014.2,31.1,31,8,W,19,1011.8,Summer,-14,2,0,FALSE,TRUE
17/12/2017,16.3,31.6,1.6,ENE,50,17:08:00,20.6,68,1,ENE,15,1017,30.1,42,1,NW,11,1013.3,Summer,11,1.5,-7,FALSE,FALSE
18/12/2017,16.4,32.6,0.2,WNW,39,12:40:00,20.5,75,1,NNE,7,1013.7,29.6,43,1,WNW,19,1009.2,Summer,1,-4.099999999999909,0,FALSE,FALSE
19/12/2017,18,34.3,0,N,43,11:51:00,25.2,47,7,S,7,1009.2,33.2,34,0,NW,22,1004.9,Summer,-9,-4.300000000000068,-1,TRUE,FALSE
20/12/2017,22.8,27.5,0.2,NW,52,08:47:00,26.3,51,8,WNW,17,1006.3,18.6,80,8,N,15,1010.5,Summer,46,5.600000000000023,8,FALSE,TRUE
21/12/2017,9.4,26.7,1.6,Calm,13,00:00:14,17.9,69,0,W,7,1017.6,24.5,44,8,N,13,1015.3,Summer,-36,4.7999999999999545,0,FALSE,FALSE
22/12/2017,12.5,29.5,0,WNW,31,15:23:00,19.4,69,8,WSW,6,1016.4,27.4,32,8,W,15,1012.1,Summer,-12,-3.199999999999932,0,FALSE,FALSE
23/12/2017,11.9,31.8,0,WNW,39,13:35:00,20.4,72,0,NNE,6,1012.6,30.1,16,1,NW,20,1009,Summer,-16,-3.1000000000000227,-7,FALSE,FALSE
24/12/2017,13.2,34.8,0,ENE,57,18:12:00,20.6,47,7,SSE,9,1008.5,34,14,3,NW,31,1005.8,Summer,-2,-3.2000000000000455,2,TRUE,FALSE
